loan_amnt,funded_amnt,term,int_rate,installment,sub_grade,emp_length,home_ownership,annual_inc,is_inc_v,loan_status,purpose,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,pub_rec_bankruptcies,chargeoff_within_12_mths,tax_liens,,
3000,3000, 36 months,20.49%,112.25,E1,10+ years,RENT,75000,Not Verified,Charged Off,debt_consolidation,CA,0.7,0,7/30/2008 07:13,1,2,0,937,85.20%,4,0,0,0,,
7200,7200, 36 months,8.90%,228.63,A5,4 years,RENT,85000,Verified,Charged Off,credit_card,DC,16.37,0,10/1/2002 06:12,0,16,0,26911,84.60%,28,0,0,0,,
8000,8000, 36 months,6.03%,243.49,A1,10+ years,MORTGAGE,58600,Source Verified,Charged Off,home_improvement,NY,19.29,1,9/27/1993 07:05,0,8,0,1514,11.10%,43,0,0,0,,
16500,16500, 60 months,7.90%,333.78,A4,2 years,MORTGAGE,42000,Verified,Charged Off,small_business,NY,10.43,0,7/16/1993 08:41,0,9,0,2229,5.10%,17,0,0,0,,
6625,6625, 36 months,6.03%,201.64,A1,1 year,RENT,24000,Source Verified,Charged Off,small_business,AL,29.21,0,7/8/1998 09:01,0,7,0,8815,28.20%,13,0,0,0,,
15000,15000, 36 months,11.71%,496.14,B3,10+ years,MORTGAGE,70000,Not Verified,Charged Off,small_business,MI,17.73,0,7/26/1992 05:15,6,19,0,40531,34%,57,0,0,0,,
21000,21000, 60 months,22.45%,585.39,F1,6 years,RENT,55000,Verified,Charged Off,debt_consolidation,CA,28.08,0,9/2/1996 12:24,1,15,0,27088,61%,24,0,0,0,,
20000,20000, 36 months,12.42%,668.31,B4,6 years,RENT,103200,Source Verified,Charged Off,credit_card,CA,8.73,0,12/2/1989 03:02,0,5,0,21727,92.50%,19,0,0,0,,
13100,13100, 36 months,16.77%,465.56,D2,6 years,MORTGAGE,116000,Source Verified,Charged Off,car,CA,9.56,0,5/28/2005 10:19,3,8,1,5258,71.10%,13,1,0,0,,
16000,16000, 60 months,16.77%,395.67,D2,10+ years,MORTGAGE,36000,Not Verified,Charged Off,credit_card,NY,15.2,0,8/11/2000 06:33,1,8,0,14653,84.90%,20,0,0,0,,
10200,10200, 36 months,16.29%,360.07,D1,10+ years,MORTGAGE,65000,Source Verified,Charged Off,debt_consolidation,VT,15.06,0,3/23/1999 10:18,3,9,0,9741,89.40%,14,0,0,0,,
7550,7550, 60 months,17.58%,190,D4,5 years,RENT,26400,Source Verified,Charged Off,small_business,CA,24.32,2,1/26/2001 12:23,1,4,0,4751,33.90%,14,0,0,0,,
17000,17000, 36 months,11.71%,562.3,B3,10+ years,OWN,80000,Source Verified,Charged Off,debt_consolidation,CA,18.67,0,10/24/1999 10:52,1,13,0,22852,74.70%,29,0,0,0,,
19250,15100, 60 months,20.30%,402.59,E5,10+ years,OWN,60000,Verified,Charged Off,debt_consolidation,WA,13.34,0,4/6/2000 01:45,1,9,0,24776,88.40%,20,0,0,0,,
3000,3000, 36 months,7.62%,93.49,A3,10+ years,MORTGAGE,85000,Not Verified,Charged Off,home_improvement,NC,13.51,0,6/27/1993 09:28,0,12,0,30897,49.10%,25,0,0,0,,
14500,14500, 60 months,15.96%,352.31,C5,6 years,RENT,29000,Verified,Charged Off,house,CA,13.61,0,6/14/2000 08:49,1,5,0,9876,83.70%,14,0,0,0,,
